id,area,years,satisfy,apps,comment
1,関東,5,1,-,コメントコメント自由記述コメント自由記述
2,関東,19,1,HAD,自由記述コメント自由記述コメント
2,関東,19,1,JASP,自由記述コメント自由記述コメント
2,関東,19,1,S-PLUS,自由記述コメント自由記述コメント
2,関東,19,1,SPSS,自由記述コメント自由記述コメント
3,中部,12,5,-,コメント自由記述コメントコメント
4,九州・沖縄,15,2,excel,自由記述コメント自由記述コメントコメント
4,九州・沖縄,15,2,JMP,自由記述コメント自由記述コメントコメント
4,九州・沖縄,15,2,S-PLUS,自由記述コメント自由記述コメントコメント
5,中国・四国,6,4,-,コメント自由記述
6,中国・四国,11,1,excel,自由記述自由記述自由記述自由記述コメント
6,中国・四国,11,1,others,自由記述自由記述自由記述自由記述コメント
7,近畿,8,4,excel,自由記述自由記述コメントコメント
7,近畿,8,4,JASP,自由記述自由記述コメントコメント
7,近畿,8,4,S-PLUS,自由記述自由記述コメントコメント
7,近畿,8,4,SPSS,自由記述自由記述コメントコメント
8,関東,20,4,SAS,自由記述自由記述コメント
9,中部,9,3,HAD,自由記述
9,中部,9,3,JASP,自由記述
9,中部,9,3,JMP,自由記述
9,中部,9,3,S-PLUS,自由記述
9,中部,9,3,SPSS,自由記述
10,関東,8,5,excel,自由記述コメント
10,関東,8,5,HAD,自由記述コメント
10,関東,8,5,JASP,自由記述コメント
10,関東,8,5,S-PLUS,自由記述コメント
10,関東,8,5,STATISTICA,自由記述コメント
11,中国・四国,5,2,excel,
11,中国・四国,5,2,HAD,
11,中国・四国,5,2,JMP,
11,中国・四国,5,2,SAS,
11,中国・四国,5,2,SPSS,
12,関東,17,3,excel,自由記述コメント自由記述自由記述
12,関東,17,3,JASP,自由記述コメント自由記述自由記述
12,関東,17,3,JMP,自由記述コメント自由記述自由記述
12,関東,17,3,SAS,自由記述コメント自由記述自由記述
13,北海道・東北,2,1,excel,コメント自由記述
13,北海道・東北,2,1,HAD,コメント自由記述
13,北海道・東北,2,1,JASP,コメント自由記述
13,北海道・東北,2,1,SAS,コメント自由記述
14,九州・沖縄,2,3,excel,コメントコメントコメントコメント
14,九州・沖縄,2,3,JASP,コメントコメントコメントコメント
14,九州・沖縄,2,3,SAS,コメントコメントコメントコメント
14,九州・沖縄,2,3,SPSS,コメントコメントコメントコメント
14,九州・沖縄,2,3,STATISTICA,コメントコメントコメントコメント
15,近畿,6,4,-,コメントコメントコメントコメント
16,関東,14,1,HAD,コメント自由記述自由記述自由記述
16,関東,14,1,others,コメント自由記述自由記述自由記述
16,関東,14,1,SAS,コメント自由記述自由記述自由記述
16,関東,14,1,STATISTICA,コメント自由記述自由記述自由記述
17,関東,14,3,HAD,自由記述コメント自由記述コメント自由記述
17,関東,14,3,JASP,自由記述コメント自由記述コメント自由記述
17,関東,14,3,JMP,自由記述コメント自由記述コメント自由記述
17,関東,14,3,S-PLUS,自由記述コメント自由記述コメント自由記述
17,関東,14,3,SPSS,自由記述コメント自由記述コメント自由記述
18,中国・四国,2,3,excel,コメント自由記述
