id,satisfy,apps,comment
1,1,-,コメントコメント自由記述コメント自由記述
2,1,HAD,自由記述コメント自由記述コメント
2,1,JASP,自由記述コメント自由記述コメント
2,1,S-PLUS,自由記述コメント自由記述コメント
2,1,SPSS,自由記述コメント自由記述コメント
3,5,-,コメント自由記述コメントコメント
4,2,excel,自由記述コメント自由記述コメントコメント
4,2,JMP,自由記述コメント自由記述コメントコメント
4,2,S-PLUS,自由記述コメント自由記述コメントコメント
5,4,-,コメント自由記述
6,1,excel,自由記述自由記述自由記述自由記述コメント
6,1,others,自由記述自由記述自由記述自由記述コメント
7,4,excel,自由記述自由記述コメントコメント
7,4,JASP,自由記述自由記述コメントコメント
7,4,S-PLUS,自由記述自由記述コメントコメント
7,4,SPSS,自由記述自由記述コメントコメント
8,4,SAS,自由記述自由記述コメント
9,3,HAD,自由記述
9,3,JASP,自由記述
9,3,JMP,自由記述
9,3,S-PLUS,自由記述
9,3,SPSS,自由記述
10,5,excel,自由記述コメント
10,5,HAD,自由記述コメント
10,5,JASP,自由記述コメント
10,5,S-PLUS,自由記述コメント
10,5,STATISTICA,自由記述コメント
11,2,excel,
11,2,HAD,
11,2,JMP,
11,2,SAS,
11,2,SPSS,
12,3,excel,自由記述コメント自由記述自由記述
12,3,JASP,自由記述コメント自由記述自由記述
12,3,JMP,自由記述コメント自由記述自由記述
12,3,SAS,自由記述コメント自由記述自由記述
13,1,excel,コメント自由記述
13,1,HAD,コメント自由記述
13,1,JASP,コメント自由記述
13,1,SAS,コメント自由記述
14,3,excel,コメントコメントコメントコメント
14,3,JASP,コメントコメントコメントコメント
14,3,SAS,コメントコメントコメントコメント
14,3,SPSS,コメントコメントコメントコメント
14,3,STATISTICA,コメントコメントコメントコメント
15,4,-,コメントコメントコメントコメント
16,1,HAD,コメント自由記述自由記述自由記述
16,1,others,コメント自由記述自由記述自由記述
16,1,SAS,コメント自由記述自由記述自由記述
16,1,STATISTICA,コメント自由記述自由記述自由記述
17,3,HAD,自由記述コメント自由記述コメント自由記述
17,3,JASP,自由記述コメント自由記述コメント自由記述
17,3,JMP,自由記述コメント自由記述コメント自由記述
17,3,S-PLUS,自由記述コメント自由記述コメント自由記述
17,3,SPSS,自由記述コメント自由記述コメント自由記述
18,3,excel,コメント自由記述
18,3,HAD,コメント自由記述
18,3,JASP,コメント自由記述
18,3,S-PLUS,コメント自由記述
18,3,SPSS,コメント自由記述
19,2,excel,コメント
19,2,STATISTICA,コメント
20,5,excel,コメントコメント
