id,satisfy,apps,comment
1,1,NA,コメントコメント自由記述コメント自由記述
2,1,HAD;JASP;S-PLUS;SPSS,自由記述コメント自由記述コメント
3,5,NA,コメント自由記述コメントコメント
4,2,excel;JMP;S-PLUS,自由記述コメント自由記述コメントコメント
5,4,NA,コメント自由記述
6,1,excel;others,自由記述自由記述自由記述自由記述コメント
7,4,excel;JASP;S-PLUS;SPSS,自由記述自由記述コメントコメント
8,4,SAS,自由記述自由記述コメント
9,3,HAD;JASP;JMP;S-PLUS;SPSS,自由記述
10,5,excel;HAD;JASP;S-PLUS;STATISTICA,自由記述コメント
11,2,excel;HAD;JMP;SAS;SPSS,NA
12,3,excel;JASP;JMP;SAS,自由記述コメント自由記述自由記述
13,1,excel;HAD;JASP;SAS,コメント自由記述
14,3,excel;JASP;SAS;SPSS;STATISTICA,コメントコメントコメントコメント
15,4,NA,コメントコメントコメントコメント
16,1,HAD;others;SAS;STATISTICA,コメント自由記述自由記述自由記述
17,3,HAD;JASP;JMP;S-PLUS;SPSS,自由記述コメント自由記述コメント自由記述
18,3,excel;HAD;JASP;S-PLUS;SPSS,コメント自由記述
19,2,excel;STATISTICA,コメント
20,5,excel;SAS,コメントコメント
21,4,S-PLUS,自由記述コメント自由記述
22,1,excel;HAD;JASP;SAS;SPSS,コメントコメント
23,5,excel;HAD;JASP;SPSS,自由記述コメント自由記述自由記述
24,3,excel;HAD;SAS;SPSS;STATISTICA,コメントコメントコメントコメント
25,3,NA,自由記述自由記述コメントコメント
26,2,HAD;JASP;JMP,コメント自由記述コメントコメント自由記述
27,1,excel;HAD;SAS;SPSS,NA
28,3,excel;others;SAS;SPSS;STATISTICA,コメント自由記述
29,5,excel;SPSS;STATISTICA,NA
30,3,excel;SPSS,コメントコメントコメントコメント
31,4,excel;others;S-PLUS;SAS;STATISTICA,自由記述コメントコメント
32,5,HAD;JASP;JMP;S-PLUS;SAS,NA
33,4,JASP;others;S-PLUS;SPSS;STATISTICA,コメントコメント
34,1,HAD;S-PLUS;STATISTICA,自由記述
35,1,NA,NA
36,5,HAD;SAS;SPSS,コメント自由記述自由記述コメント自由記述
37,5,SAS;SPSS,コメントコメントコメントコメントコメント
38,2,excel,自由記述コメントコメント
39,3,S-PLUS;STATISTICA,コメントコメントコメントコメント
40,4,excel;SAS,自由記述自由記述コメントコメント自由記述
41,1,HAD;JMP;others;S-PLUS;STATISTICA,コメントコメント自由記述コメント
42,3,HAD;JASP,コメントコメント自由記述
43,1,S-PLUS;STATISTICA,NA
44,4,JASP;S-PLUS;SPSS,自由記述コメントコメント自由記述自由記述
45,3,NA,自由記述コメントコメント
46,1,JMP;others;STATISTICA,自由記述コメント自由記述
47,2,HAD;SAS;STATISTICA,コメントコメントコメントコメント自由記述
48,3,excel;S-PLUS;SAS;SPSS,自由記述自由記述コメント
49,3,NA,自由記述自由記述
50,5,excel;JASP,自由記述コメント
51,3,HAD;JMP;S-PLUS,自由記述自由記述自由記述
52,1,excel,自由記述コメントコメント
53,4,S-PLUS;SPSS,コメント自由記述自由記述自由記述
54,1,excel;HAD;SAS,NA
55,1,excel;JASP;SAS;SPSS;STATISTICA,コメント自由記述自由記述
56,4,excel;SAS,NA
57,3,SPSS;STATISTICA,自由記述自由記述コメント自由記述
58,2,NA,自由記述
59,1,excel;HAD;JMP;SAS,NA
60,2,NA,NA
61,1,NA,NA
62,2,HAD;SAS;STATISTICA,コメント自由記述
63,5,excel;SPSS;STATISTICA,コメント
64,1,HAD;others;SAS;SPSS,自由記述コメントコメントコメント自由記述
65,3,JASP,コメントコメント自由記述コメント自由記述
66,2,JASP;JMP;SAS,NA
67,5,JASP;S-PLUS;SAS,自由記述自由記述自由記述コメント自由記述
68,2,HAD;S-PLUS;SAS;STATISTICA,自由記述コメント自由記述コメント自由記述
69,2,excel;others;S-PLUS;SAS;STATISTICA,コメントコメント自由記述
70,4,excel,NA
71,2,HAD;others;SAS;SPSS;STATISTICA,自由記述自由記述自由記述コメント
72,3,SPSS,コメント
73,1,S-PLUS;STATISTICA,コメント
74,3,STATISTICA,NA
75,1,excel;HAD;others;STATISTICA,コメント
76,4,excel;JASP;SAS;STATISTICA,自由記述コメントコメント自由記述コメント
77,3,S-PLUS;SAS;SPSS;STATISTICA,コメントコメント
78,2,SAS;SPSS,NA
79,3,JMP;others;SPSS,コメント自由記述自由記述自由記述自由記述
80,4,HAD;SAS,コメントコメント
81,4,excel,自由記述コメントコメントコメント自由記述
82,1,HAD,コメント自由記述コメント
83,4,excel;JASP;JMP;SAS;SPSS,自由記述自由記述自由記述
84,2,STATISTICA,コメント自由記述コメント自由記述コメント
85,1,excel;JMP;S-PLUS;SPSS,コメントコメント自由記述自由記述コメント
86,5,HAD,NA
87,3,NA,自由記述自由記述コメント自由記述
88,3,SAS;SPSS;STATISTICA,NA
89,1,NA,自由記述自由記述コメント
90,2,excel;HAD;SAS;SPSS;STATISTICA,コメント自由記述コメント
91,2,others;SAS,自由記述自由記述自由記述自由記述コメント
92,1,HAD;JASP;SPSS,コメントコメントコメント
93,4,excel;HAD;S-PLUS;SAS;SPSS,コメントコメントコメント
94,4,JMP,NA
95,3,JASP;S-PLUS;SAS,自由記述自由記述自由記述コメント自由記述
96,2,HAD;SPSS,自由記述自由記述
97,4,S-PLUS,コメント自由記述
98,4,NA,コメント
99,2,STATISTICA,NA
100,3,NA,自由記述コメント
