period,shop,item,count,price
2023-01,芦屋,うどん,47,500
2023-01,芦屋,オムライス,61,600
2023-01,芦屋,カツ丼,45,650
2023-01,芦屋,カレー,46,600
2023-01,芦屋,サンドウィッチ,12,450
2023-01,芦屋,スパゲティ,12,710
2023-01,芦屋,チャーハン,47,630
2023-01,芦屋,ドリア,38,700
2023-01,芦屋,ピザ,31,740
2023-01,芦屋,蕎麦,46,500
2023-01,芦屋,洋定食,53,700
2023-01,芦屋,和定食,42,650
2023-02,芦屋,うどん,32,500
2023-02,芦屋,オムライス,55,600
2023-02,芦屋,カツ丼,41,650
2023-02,芦屋,カレー,31,600
2023-02,芦屋,サンドウィッチ,19,450
2023-02,芦屋,スパゲティ,21,710
2023-02,芦屋,チャーハン,42,630
2023-02,芦屋,ドリア,39,700
2023-02,芦屋,ピザ,26,740
2023-02,芦屋,蕎麦,30,500
2023-02,芦屋,洋定食,49,700
2023-02,芦屋,和定食,44,650
2023-03,芦屋,うどん,44,500
2023-03,芦屋,オムライス,42,600
2023-03,芦屋,カツ丼,47,650
2023-03,芦屋,カレー,46,600
2023-03,芦屋,サンドウィッチ,16,450
2023-03,芦屋,スパゲティ,21,710
2023-03,芦屋,チャーハン,43,630
2023-03,芦屋,ドリア,32,700
2023-03,芦屋,ピザ,29,740
2023-03,芦屋,蕎麦,37,500
2023-03,芦屋,洋定食,47,700
2023-03,芦屋,和定食,66,650
2023-04,芦屋,うどん,48,500
2023-04,芦屋,オムライス,40,600
2023-04,芦屋,カツ丼,38,650
2023-04,芦屋,カレー,46,600
2023-04,芦屋,サンドウィッチ,11,450
2023-04,芦屋,スパゲティ,23,710
2023-04,芦屋,チャーハン,32,630
2023-04,芦屋,ドリア,28,700
2023-04,芦屋,ピザ,30,740
2023-04,芦屋,蕎麦,35,500
2023-04,芦屋,洋定食,54,700
2023-04,芦屋,和定食,56,650
2023-05,芦屋,うどん,37,500
2023-05,芦屋,オムライス,49,600
2023-05,芦屋,カツ丼,47,650
2023-05,芦屋,カレー,44,600
2023-05,芦屋,サンドウィッチ,14,450
2023-05,芦屋,スパゲティ,19,710
2023-05,芦屋,チャーハン,49,630
2023-05,芦屋,ドリア,26,700
2023-05,芦屋,ピザ,35,740
2023-05,芦屋,蕎麦,39,500
