period,shop,item,count
2023-01,芦屋,うどん,47
2023-01,芦屋,オムライス,61
2023-01,芦屋,カツ丼,45
2023-01,芦屋,カレー,46
2023-01,芦屋,サンドウィッチ,12
2023-01,芦屋,スパゲティ,12
2023-01,芦屋,チャーハン,47
2023-01,芦屋,ドリア,38
2023-01,芦屋,ピザ,31
2023-01,芦屋,蕎麦,46
2023-01,芦屋,洋定食,53
2023-01,芦屋,和定食,42
2023-02,芦屋,うどん,32
2023-02,芦屋,オムライス,55
2023-02,芦屋,カツ丼,41
2023-02,芦屋,カレー,31
2023-02,芦屋,サンドウィッチ,19
2023-02,芦屋,スパゲティ,21
2023-02,芦屋,チャーハン,42
2023-02,芦屋,ドリア,39
2023-02,芦屋,ピザ,26
2023-02,芦屋,蕎麦,30
2023-02,芦屋,洋定食,49
2023-02,芦屋,和定食,44
2023-03,芦屋,うどん,44
2023-03,芦屋,オムライス,42
2023-03,芦屋,カツ丼,47
2023-03,芦屋,カレー,46
2023-03,芦屋,サンドウィッチ,16
2023-03,芦屋,スパゲティ,21
2023-03,芦屋,チャーハン,43
2023-03,芦屋,ドリア,32
2023-03,芦屋,ピザ,29
2023-03,芦屋,蕎麦,37
2023-03,芦屋,洋定食,47
2023-03,芦屋,和定食,66
2023-04,芦屋,うどん,48
2023-04,芦屋,オムライス,40
2023-04,芦屋,カツ丼,38
2023-04,芦屋,カレー,46
2023-04,芦屋,サンドウィッチ,11
2023-04,芦屋,スパゲティ,23
2023-04,芦屋,チャーハン,32
2023-04,芦屋,ドリア,28
2023-04,芦屋,ピザ,30
2023-04,芦屋,蕎麦,35
2023-04,芦屋,洋定食,54
2023-04,芦屋,和定食,56
2023-05,芦屋,うどん,37
2023-05,芦屋,オムライス,49
2023-05,芦屋,カツ丼,47
2023-05,芦屋,カレー,44
2023-05,芦屋,サンドウィッチ,14
2023-05,芦屋,スパゲティ,19
2023-05,芦屋,チャーハン,49
2023-05,芦屋,ドリア,26
2023-05,芦屋,ピザ,35
2023-05,芦屋,蕎麦,39
2023-05,芦屋,洋定食,37
2023-05,芦屋,和定食,62
2023-06,芦屋,うどん,48
2023-06,芦屋,オムライス,38
2023-06,芦屋,カツ丼,42
2023-06,芦屋,カレー,51
2023-06,芦屋,サンドウィッチ,15
2023-06,芦屋,スパゲティ,21
2023-06,芦屋,チャーハン,35
2023-06,芦屋,ドリア,33
2023-06,芦屋,ピザ,25
2023-06,芦屋,蕎麦,39
2023-06,芦屋,洋定食,60
2023-06,芦屋,和定食,56
2023-07,芦屋,うどん,37
2023-07,芦屋,オムライス,47
2023-07,芦屋,カツ丼,50
2023-07,芦屋,カレー,42
2023-07,芦屋,サンドウィッチ,12
2023-07,芦屋,スパゲティ,18
2023-07,芦屋,チャーハン,28
2023-07,芦屋,ドリア,23
2023-07,芦屋,ピザ,20
2023-07,芦屋,蕎麦,35
2023-07,芦屋,洋定食,44
2023-07,芦屋,和定食,53
2023-08,芦屋,うどん,38
2023-08,芦屋,オムライス,31
2023-08,芦屋,カツ丼,45
2023-08,芦屋,カレー,50
2023-08,芦屋,サンドウィッチ,14
2023-08,芦屋,スパゲティ,24
2023-08,芦屋,チャーハン,33
2023-08,芦屋,ドリア,33
2023-08,芦屋,ピザ,28
2023-08,芦屋,蕎麦,53
2023-08,芦屋,洋定食,52
2023-08,芦屋,和定食,41
2023-09,芦屋,うどん,48
2023-09,芦屋,オムライス,29
2023-09,芦屋,カツ丼,47
2023-09,芦屋,カレー,72
2023-09,芦屋,サンドウィッチ,8
2023-09,芦屋,スパゲティ,24
2023-09,芦屋,チャーハン,34
2023-09,芦屋,ドリア,29
2023-09,芦屋,ピザ,31
2023-09,芦屋,蕎麦,40
2023-09,芦屋,洋定食,43
2023-09,芦屋,和定食,50
2023-10,芦屋,うどん,53
2023-10,芦屋,オムライス,41
2023-10,芦屋,カツ丼,41
2023-10,芦屋,カレー,50
2023-10,芦屋,サンドウィッチ,12
2023-10,芦屋,スパゲティ,23
2023-10,芦屋,チャーハン,39
2023-10,芦屋,ドリア,29
2023-10,芦屋,ピザ,18
2023-10,芦屋,蕎麦,36
2023-10,芦屋,洋定食,51
2023-10,芦屋,和定食,55
2023-11,芦屋,うどん,37
2023-11,芦屋,オムライス,48
2023-11,芦屋,カツ丼,47
2023-11,芦屋,カレー,47
2023-11,芦屋,サンドウィッチ,10
2023-11,芦屋,スパゲティ,21
2023-11,芦屋,チャーハン,47
2023-11,芦屋,ドリア,30
2023-11,芦屋,ピザ,28
2023-11,芦屋,蕎麦,34
2023-11,芦屋,洋定食,51
2023-11,芦屋,和定食,54
2023-12,芦屋,うどん,47
2023-12,芦屋,オムライス,39
2023-12,芦屋,カツ丼,46
2023-12,芦屋,カレー,52
2023-12,芦屋,サンドウィッチ,9
2023-12,芦屋,スパゲティ,22
2023-12,芦屋,チャーハン,36
2023-12,芦屋,ドリア,35
2023-12,芦屋,ピザ,17
2023-12,芦屋,蕎麦,40
2023-12,芦屋,洋定食,49
2023-12,芦屋,和定食,55
2024-01,芦屋,うどん,35
2024-01,芦屋,オムライス,44
2024-01,芦屋,カツ丼,38
2024-01,芦屋,カレー,42
2024-01,芦屋,サンドウィッチ,10
2024-01,芦屋,スパゲティ,18
2024-01,芦屋,チャーハン,40
2024-01,芦屋,ドリア,43
2024-01,芦屋,ピザ,21
2024-01,芦屋,蕎麦,37
2024-01,芦屋,洋定食,33
2024-01,芦屋,和定食,42
2024-02,芦屋,うどん,35
2024-02,芦屋,オムライス,35
2024-02,芦屋,カツ丼,42
2024-02,芦屋,カレー,51
2024-02,芦屋,サンドウィッチ,13
2024-02,芦屋,スパゲティ,15
2024-02,芦屋,チャーハン,40
2024-02,芦屋,ドリア,21
2024-02,芦屋,ピザ,28
2024-02,芦屋,蕎麦,45
2024-02,芦屋,洋定食,47
2024-02,芦屋,和定食,42
2024-03,芦屋,うどん,44
2024-03,芦屋,オムライス,40
2024-03,芦屋,カツ丼,36
2024-03,芦屋,カレー,55
2024-03,芦屋,サンドウィッチ,13
2024-03,芦屋,スパゲティ,17
2024-03,芦屋,チャーハン,39
2024-03,芦屋,ドリア,35
2024-03,芦屋,ピザ,29
2024-03,芦屋,蕎麦,49
2024-03,芦屋,洋定食,55
2024-03,芦屋,和定食,45
2024-04,芦屋,うどん,37
2024-04,芦屋,オムライス,38
2024-04,芦屋,カツ丼,46
2024-04,芦屋,カレー,40
2024-04,芦屋,サンドウィッチ,21
2024-04,芦屋,スパゲティ,26
2024-04,芦屋,チャーハン,25
2024-04,芦屋,ドリア,26
2024-04,芦屋,ピザ,27
2024-04,芦屋,蕎麦,33
2024-04,芦屋,洋定食,57
2024-04,芦屋,和定食,60
2024-05,芦屋,うどん,46
2024-05,芦屋,オムライス,34
2024-05,芦屋,カツ丼,46
2024-05,芦屋,カレー,54
2024-05,芦屋,サンドウィッチ,14
2024-05,芦屋,スパゲティ,24
2024-05,芦屋,チャーハン,37
2024-05,芦屋,ドリア,35
2024-05,芦屋,ピザ,27
2024-05,芦屋,蕎麦,46
2024-05,芦屋,洋定食,42
2024-05,芦屋,和定食,41
2024-06,芦屋,うどん,35
2024-06,芦屋,オムライス,37
2024-06,芦屋,カツ丼,49
2024-06,芦屋,カレー,42
2024-06,芦屋,サンドウィッチ,6
2024-06,芦屋,スパゲティ,22
2024-06,芦屋,チャーハン,30
2024-06,芦屋,ドリア,35
2024-06,芦屋,ピザ,35
2024-06,芦屋,蕎麦,49
2024-06,芦屋,洋定食,41
2024-06,芦屋,和定食,64
2024-07,芦屋,うどん,34
2024-07,芦屋,オムライス,38
2024-07,芦屋,カツ丼,38
2024-07,芦屋,カレー,39
2024-07,芦屋,サンドウィッチ,15
2024-07,芦屋,スパゲティ,29
2024-07,芦屋,チャーハン,45
2024-07,芦屋,ドリア,36
2024-07,芦屋,ピザ,17
2024-07,芦屋,蕎麦,35
2024-07,芦屋,洋定食,40
2024-07,芦屋,和定食,57
2024-08,芦屋,うどん,53
2024-08,芦屋,オムライス,42
2024-08,芦屋,カツ丼,52
2024-08,芦屋,カレー,47
2024-08,芦屋,サンドウィッチ,11
2024-08,芦屋,スパゲティ,18
2024-08,芦屋,チャーハン,31
2024-08,芦屋,ドリア,31
2024-08,芦屋,ピザ,20
2024-08,芦屋,蕎麦,38
2024-08,芦屋,洋定食,48
2024-08,芦屋,和定食,49
2024-09,芦屋,うどん,54
2024-09,芦屋,オムライス,40
2024-09,芦屋,カツ丼,42
2024-09,芦屋,カレー,48
2024-09,芦屋,サンドウィッチ,21
2024-09,芦屋,スパゲティ,19
2024-09,芦屋,チャーハン,28
